2021-05-09 11:51:58 UTC Syncing #12399821 0xc530…c8b4     0.20 blk/s   76.6 tx/s    3.0 Mgas/s      0+  180 Qed Ancient:#12154978 LI:#12400000   36/50 peers    911 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:03 UTC Syncing #12399822 0x47ca…9c44     0.20 blk/s   59.4 tx/s    3.0 Mgas/s      0+  179 Qed Ancient:#12154978 LI:#12400000   36/50 peers    912 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:08 UTC Syncing #12399823 0xafcf…5539     0.20 blk/s   41.6 tx/s    3.0 Mgas/s      0+  178 Qed Ancient:#12154978 LI:#12400000   36/50 peers    912 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:13 UTC Syncing #12399823 0xafcf…5539     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  179 Qed Ancient:#12154978 LI:#12400001   36/50 peers      3 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:18 UTC Syncing #12399824 0x6d6f…3b07     0.20 blk/s   32.4 tx/s    3.0 Mgas/s      0+  178 Qed Ancient:#12154978 LI:#12400001   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:23 UTC Syncing #12399824 0x6d6f…3b07     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12154978 LI:#12400001   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:28 UTC Syncing #12399825 0x651d…c9b0     0.20 blk/s   97.6 tx/s    2.9 Mgas/s      0+  178 Qed Ancient:#12154978 LI:#12400002   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:33 UTC Syncing #12399826 0x7b7e…1aed     0.20 blk/s   59.8 tx/s    2.8 Mgas/s      0+  179 Qed Ancient:#12154978 LI:#12400004   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:38 UTC Syncing #12399826 0x7b7e…1aed     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  180 Qed Ancient:#12154978 LI:#12400005   37/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:43 UTC Syncing #12399827 0x82f6…7d54     0.20 blk/s   67.6 tx/s    3.0 Mgas/s      0+  179 Qed Ancient:#12154978 LI:#12400005   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:48 UTC Syncing #12399828 0x614b…3d96     0.20 blk/s   49.6 tx/s    3.0 Mgas/s      0+  178 Qed Ancient:#12154978 LI:#12400005   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:53 UTC Syncing #12399829 0x6714…fc0f     0.20 blk/s   51.6 tx/s    3.0 Mgas/s      0+  177 Qed Ancient:#12154978 LI:#12400005   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:01 UTC Syncing #12399830 0x2e40…66f1     0.12 blk/s   29.2 tx/s    1.7 Mgas/s      0+  177 Qed Ancient:#12155239 LI:#12400006   37/50 peers      8 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:08 UTC Syncing #12399830 0x2e40…66f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  177 Qed Ancient:#12155239 LI:#12400006   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:23 UTC Syncing #12399832 0x850d…6650     0.14 blk/s   48.5 tx/s    2.0 Mgas/s      0+  179 Qed Ancient:#12155279 LI:#12400009   36/50 peers      1 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:23 UTC Syncing #12399832 0x850d…6650     0.14 blk/s   48.5 tx/s    2.0 Mgas/s      0+  179 Qed Ancient:#12155279 LI:#12400009   36/50 peers      1 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:28 UTC Syncing #12399832 0x850d…6650     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12155279 LI:#12400009   36/50 peers      1 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:33 UTC Syncing #12399832 0x850d…6650     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12155279 LI:#12400009   36/50 peers      1 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:41 UTC Syncing #12399834 0xf6af…f74e     0.24 blk/s   40.1 tx/s    3.6 Mgas/s      0+  177 Qed Ancient:#12155300 LI:#12400009   36/50 peers      1 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
