2021-05-09 10:38:21 UTC Syncing #12399454 0xe547…c16f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s    110+   97 Qed Ancient:#12118719 LI:#12399664   24/25 peers    167 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:26 UTC Syncing #12399455 0x0ec4…162e     0.20 blk/s   42.8 tx/s    2.9 Mgas/s     58+  148 Qed Ancient:#12118719 LI:#12399664   24/25 peers    202 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:31 UTC Syncing #12399455 0x0ec4…162e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  208 Qed Ancient:#12118719 LI:#12399664   26/50 peers    202 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:36 UTC Syncing #12399456 0x6ccd…025a     0.20 blk/s   50.4 tx/s    3.0 Mgas/s      0+  207 Qed Ancient:#12118719 LI:#12399664   26/50 peers    202 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:41 UTC Syncing #12399457 0xc36a…a328     0.20 blk/s   51.2 tx/s    3.0 Mgas/s      0+  207 Qed Ancient:#12118719 LI:#12399665   26/50 peers    272 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:46 UTC Syncing #12399458 0x2bff…22e1     0.20 blk/s   56.4 tx/s    3.0 Mgas/s      0+  206 Qed Ancient:#12118719 LI:#12399665   26/50 peers    273 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:51 UTC Syncing #12399458 0x2bff…22e1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  206 Qed Ancient:#12118719 LI:#12399665   26/50 peers    273 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:56 UTC Syncing #12399459 0xb176…3356     0.20 blk/s   51.2 tx/s    2.8 Mgas/s      0+  205 Qed Ancient:#12118719 LI:#12399665   26/50 peers    551 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:39:01 UTC Syncing #12399460 0x1264…70f8     0.20 blk/s   50.6 tx/s    3.0 Mgas/s      0+  205 Qed Ancient:#12118719 LI:#12399666   26/50 peers    551 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:39:06 UTC Syncing #12399460 0x1264…70f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  205 Qed Ancient:#12118719 LI:#12399666   26/50 peers    551 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:39:11 UTC Syncing #12399461 0x3d6c…c2a6     0.20 blk/s   65.6 tx/s    3.0 Mgas/s      0+  204 Qed Ancient:#12118719 LI:#12399666   10/25 peers    691 KiB chain   46 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:39:16 UTC Syncing #12399462 0x519b…40fc     0.20 blk/s   82.8 tx/s    3.0 Mgas/s      0+  203 Qed Ancient:#12118719 LI:#12399666    6/25 peers    691 KiB chain   46 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:39:21 UTC Syncing #12399463 0x9f23…2dc1     0.20 blk/s   61.0 tx/s    3.0 Mgas/s      0+  202 Qed Ancient:#12118719 LI:#12399666    3/25 peers    692 KiB chain   46 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:39:26 UTC Syncing #12399463 0x9f23…2dc1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  202 Qed Ancient:#12118719 LI:#12399666    3/25 peers    692 KiB chain   46 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:39:31 UTC Syncing #12399464 0x61f4…82fe     0.20 blk/s   46.6 tx/s    3.0 Mgas/s      0+  201 Qed Ancient:#12118719 LI:#12399666    2/25 peers    692 KiB chain   46 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:39:36 UTC Syncing #12399465 0x8d55…14ba     0.20 blk/s   38.0 tx/s    2.9 Mgas/s      0+  200 Qed Ancient:#12118719 LI:#12399666    1/25 peers    692 KiB chain   45 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
